section,arm,metric,clause_type,condition,k,labeling,value,n,extra
ct1_8,jev,accuracy,1,A,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,1,B,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,1,C,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,1,SHUFFLE,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,2,A,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,2,B,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,2,C,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,2,SHUFFLE,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,3,A,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,3,B,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,3,C,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,3,SHUFFLE,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,4,A,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,4,B,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,4,C,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,4,SHUFFLE,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,5,A,,,0.9055555555555556,180,"ci=[0.8611,0.9444]"
ct1_8,jev,accuracy,5,B,,,0.9222222222222223,180,"ci=[0.8833,0.9556]"
ct1_8,jev,accuracy,5,C,,,0.8944444444444445,180,"ci=[0.8500,0.9333]"
ct1_8,jev,accuracy,5,SHUFFLE,,,0.9055555555555556,180,"ci=[0.8611,0.9444]"
ct1_8,jev,accuracy,6,A,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,6,B,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,6,C,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,6,SHUFFLE,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,7,A,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,7,B,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,7,C,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,7,SHUFFLE,,,1.0,180,"ci=[1.0000,1.0000]"
ct1_8,jev,accuracy,8,A,,,1.0,180,"ci=[1.0000,1.0000]"
